event_year,event_name,market,country_or_region,response_type,regime_type,short_description,source_url
2014,Gwangmyeong Korea store opens,Korea,South Korea,store_expansion,east_asia,IKEA enters Korea Dec 18 2014 with worlds largest IKEA at the time,https://www.ikea.com/kr/en/newsroom/corporate-news/page-title-h1-pub214cf7d1/
2016,CEO urban strategy announcement,Global,Global,strategy_pivot,both,Peter Agnefjäll signals shift from suburban big-box to urban formats,https://www.retaildive.com/news/ikea-shifts-store-strategy-to-urban-areas/431972/
2017,TaskRabbit acquisition,Western,United States and UK,service_partnership,western,IKEA acquires TaskRabbit to offer in-home assembly,https://edition.cnn.com/2018/12/03/business/ikea-new-york-retail/index.html
2017,IKEA Place AR app launches,Western,Global,channel_innovation,western,IKEA Place augmented-reality app launches Sep 19 2017 built on Apple ARKit with 2000+ products,https://9to5mac.com/2017/09/19/ikea-place-augmented-reality-app-download/
2017,IKEA Japan online shop launches,East,Japan,channel_innovation,east_asia,IKEA Japan launches first online shopping after operating in Japan since 2006 re-entry,https://insideretail.asia/2017/02/27/ikea-japan-launching-online-store/
2018,Tottenham Court Road planning studio opens,Western,United Kingdom,urban_format,western,IKEA opens first ever planning studio Oct 12 2018 in London 400 sqm,https://www.retailgazette.co.uk/blog/2018/10/ikea-launches-first-inner-city-store-tottenham-court-road/
2018,Future of IKEA announcement,Western,United States,strategy_pivot,western,Dec 3 2018 small stores in big cities strategy publicly framed,https://edition.cnn.com/2018/12/03/business/ikea-new-york-retail/index.html
2018,IKEA Korea e-commerce launches,East,South Korea,channel_innovation,east_asia,IKEA Korea launches e-commerce Sep 1 2018 carrying 6000 items,http://www.theinvestor.co.kr/view.php?ud=20180829000683
2019,Manhattan Planning Studio opens,Western,United States,urban_format,western,Opened April 15 2019 at 999 Third Ave first US city center IKEA,https://www.ikea.com/us/en/newsroom/corporate-news/ikea-planning-studio-in-manhattan-is-now-open-pub4c32a867/
2019,Paris La Madeleine opens,Western,France,urban_format,western,Opened May 6 2019 worlds first city-centre IKEA above Decathlon,https://about.ikea.com/en/about-us/ikea-retail/ikea-paris-la-madeleine-small-store/
2019,Greenwich sustainability flagship opens,Western,United Kingdom,urban_format,western,Opened Feb 7 2019 BREEAM Outstanding score 90.44%,https://www.retailgazette.co.uk/blog/2019/02/ikea-officially-opens-new-greenwich-store/
2019,IKEA China web shop launches,East,China,channel_innovation,east_asia,IKEA China launches PC-only web shop in 2019,https://daoinsights.com/works/ikea-adapts-to-digitalisation-with-tmall-store/
2020,IKEA China Tmall flagship launches,East,China,channel_innovation,east_asia,IKEA opens Tmall virtual store Mar 10 2020 with 3800 products first 3P marketplace ever,https://www.chinadaily.com.cn/a/202003/10/WS5e6746c7a31012821727de15.html
2020,Shanghai Jing'an city store opens,East,China,urban_format,east_asia,First China city store opens Jul 23 2020 in Shanghai CBD,https://pandaily.com/chinas-first-ikea-city-store-opens-in-downtown-shanghai-on-july-23/
2020,IKEA Harajuku opens,East,Japan,urban_format,east_asia,First Japanese city store opens June 8 2020,https://www.ikea.com/jp/en/stores/harajuku/
2020,IKEA Shibuya opens,East,Japan,urban_format,east_asia,Central Tokyo city store opens November 30 2020,https://www.ikea.com/jp/en/newsroom/corporate-news/20201029-ikea-shibuya-opening-pub49011b67/
2020,Buyback and Resell launched,Global,Global,resale_circularity,both,#BuyBackFriday launched Nov 24 2020 in 27 countries (US not initially),https://planetark.com/newsroom/news/ikea-launches-furniture-buy-back-service-in-27-countries
2021,IKEA Shinjuku opens,East,Japan,urban_format,east_asia,Central Tokyo city store opens May 1 2021,https://www.ikea.com/jp/en/newsroom/corporate-news/20210402-ikea-shinjuku-opening-pubc7b70727/
2021,Vienna Westbahnhof car-free store opens,Western,Austria,urban_format,western,Opened Aug 26 2021 first inner-city full-range store no parking,https://www.ingka.com/newsroom/the-new-inner-city-ikea-store-thats-rethinking-just-about-everything/
2021,Taipei Neihu opens replacing Dunbei,East,Taiwan,urban_format,east_asia,New Taipei downtown store opens April 2021 after 23-year Dunbei store closed,https://www.taipeitimes.com/News/taiwan/archives/2021/04/29/2003756543
2021,Singapore Jurong opens,East,Singapore,urban_format,east_asia,First SEA small-store format opens April 29 2021,https://group.ikano/stories/new-ikea-store-formats-in-southeast-asia/
2022,IKEA Guiyang closes,East,China,closure,east_asia,IKEA shuts Guiyang Guizhou store in April 2022,https://www.yicaiglobal.com/news/ikea-to-close-only-city-store-in-chinese-mainland-at-year-end
2022,IKEA Shanghai Yangpu closes,East,China,closure,east_asia,IKEA closes Yangpu district big-box store in July 2022,https://www.yicaiglobal.com/news/ikea-to-close-only-city-store-in-chinese-mainland-at-year-end
2022,Hammersmith London opens,Western,United Kingdom,urban_format,western,Small-format city store opens Feb 24 2022 succeeds Tottenham Court Road format,https://www.ikea.com/gb/en/stores/hammersmith/
2023,Shanghai Jing'an closure announced,East,China,closure,east_asia,IKEA announces July 14 2023 it will close its only China city store at year end,https://www.yicaiglobal.com/news/ikea-to-close-only-city-store-in-chinese-mainland-at-year-end
2023,San Francisco Market Street opens,Western,United States,urban_format,western,Opened Aug 23 2023 at 945 Market Street 85000 sqft three-story city format,https://sfyimby.com/2023/08/ikea-opening-today-in-mid-market-san-francisco.html
2024,IKEA Shibuya renewal reopens,East,Japan,urban_format,east_asia,Shibuya reopens after renewal on Aug 27 2024 as Tokyo hub,https://www.ikea.com/jp/en/newsroom/corporate-news/20240826-ikea-shibuya-re-born-pub8fde2780/
2024,IKEA global price cuts EUR 2.1B,Global,Global,price_cut,both,Ingka FY24: invested EUR 2.1B lowering prices on thousands of products; revenue still fell 5% to EUR 39.6B,https://www.ingka.com/newsroom/ikea-sides-with-customers-in-an-exceptional-year-investing-more-than-eur-2-1-billion-in-lowering-prices/
2024,China major price cuts March,East,China,price_cut,east_asia,IKEA China cuts prices on hundreds of items announced March 26 2024,https://m.21jingji.com/article/20240326/herald/7c5c186be07d9967f35f16693aae19b5.html
2024,Lifeweek price strategy coverage,East,China,price_cut,east_asia,Chinese media frames IKEA as following downmarket pivot amid 30% revenue drop from 2019 peak,https://www.lifeweek.com.cn/h5/article/detail.do?artId=239380
2024,IKEA China revenue trough,East,China,strategy_pivot,east_asia,IKEA China FY24 revenue RMB 11.15B near 30% below 2019 peak; China share of global sales 3.5% down from 5%+,https://www.concall.com/article/detail/article_id/4653
2025,Gangdong Seoul opens,East,South Korea,urban_format,east_asia,First IKEA in Seoul proper opens April 17 2025 in Gangdong I-Park The River mixed-use,https://www.ingka.com/newsroom/ikea-comes-closer-to-customers-in-seoul-opens-major-store-in-new-shopping-complex/
2025,Oxford Street London flagship opens,Western,United Kingdom,urban_format,western,Opened May 1 2025 in Grade II listed building 214 Oxford Street,https://www.ikea.com/gb/en/newsroom/corporate-news/opening-tomorrow-ikea-makes-a-new-home-on-londons-oxford-street-pube69d2d10/
2025,IKEA China JD.com flagship launches,East,China,channel_innovation,east_asia,IKEA opens official JD.com flagship Aug 4 2025 with 6500 products covering 301 cities,https://news-en.asiabits.com/p/ikea-largest-china-expansion-since-market-entry
2025,IKEA China RMB 6.3B reinvestment,East,China,strategy_pivot,east_asia,IKEA commits CNY 160M for 1600 new products + 150 lower-price items in FY26 plus RMB 6.3B through 2027,https://www.yicaiglobal.com/news/ikea-to-invest-usd224-million-to-lower-prices-in-china
2025,Tokyo business optimization announcement,East,Japan,strategy_pivot,east_asia,IKEA Japan announces Aug 29 2025 plan to focus Tokyo footprint on Shibuya,https://www.ikea.com/jp/en/newsroom/corporate-news/20250829-business-optimization-pubf25fd560/
2025,Harajuku and Shinjuku closure announced,East,Japan,closure,east_asia,IKEA Japan announces Dec 19 2025 both Tokyo city stores will close Feb 8 2026,https://www.ikea.com/jp/en/newsroom/corporate-news/20251219-harajuku-shinjuku-stores-pub4ab89270/
2026,IKEA Harajuku and Shinjuku close,East,Japan,closure,east_asia,Both Tokyo city stores close Feb 8 2026 leaving Shibuya as sole Tokyo hub,https://www.timeout.com/tokyo/news/ikea-is-closing-its-harajuku-and-shinjuku-locations-in-february-012026
