market,region_type,diy_culture,car_dependence,urban_density,service_expectation,local_manufacturing,domestic_competition,short_summary,density_source,competition_source,service_source,diy_source
United States,western,strong,strong,low,moderate,moderate,weak,"Suburban DIY culture and high car ownership fit IKEA's original big-box model well","US Census Bureau (2020 Decennial) population density per county","Negative observation — no dominant US furniture retailer at IKEA's price+format scale; Ashley Furniture differs in distribution model; Wayfair online-only","Observation — standard delivery options dominate furniture retail; same-day not the norm","Home Depot ~USD 157B FY24 + Lowe's ~USD 83B → US has the largest DIY retail sector per capita"
United Kingdom,western,moderate,moderate,moderate,moderate,weak,moderate,"Urban renting pressure drives city-format experiments (Hammersmith, Oxford Street)","UK Office for National Statistics — Population estimates for the UK","Multi-player synthesis (Argos, B&Q/Kingfisher, Dunelm); no single dominant competitor — observation across mid-size players","Observation — similar to US baseline","B&Q (Kingfisher) ~£3.3B revenue indicates moderate UK DIY market; UK English Housing Survey 2024-25"
Germany,western,strong,moderate,moderate,moderate,strong,moderate,"Renter-majority cities push IKEA into inner-city formats (Hamburg Altona, Berlin Lichtenberg)","Eurostat regional density data (NUTS 3)","XXXLutz / Mömax (Austrian, dominant in DACH), Höffner, OBI — combined competitive presence","Observation — strong DIY culture means lower bundled-service expectation","OBI / Hornbach / Bauhaus all >€1B revenue; DIY culture historically strong in DACH (Verhoef et al 2015 on omnichannel)"
Canada,western,strong,strong,low,moderate,weak,weak,"US-style suburban model still dominant","Statistics Canada — Population Density (Catalogue 91-215-X, 2022)","Negative observation — Leon's / The Brick mid-size but don't replicate IKEA positioning; mirrors US pattern","Observation — similar to US baseline","Home Depot Canada + Rona dominant; DIY culture mirrors US suburban pattern (Statistics Canada Survey of Household Spending on home improvement)"
France,western,moderate,moderate,high,moderate,weak,moderate,"Paris density required La Madeleine walk-in city-centre store (worlds first 2019)","INSEE — Densités de population par commune (2020); Paris ~20,500/km²","Multi-player synthesis (Conforama, BUT, Maisons du Monde); no single dominant competitor","Observation — service-bundled delivery moderately common","Castorama / Leroy Merlin large but per-capita smaller than DACH or US"
China,east_asia,weak,weak,high,strong,strong,strong,"Dense urban life, mature local manufacturing, and platform competition (Pinduoduo, JD, Tmall) erode IKEA's price/DIY edge","National Bureau of Statistics of China — China City Statistical Yearbook (Shanghai ~3,900/km²; Shenzhen ~6,700/km²)","Yicai FY24 + Pinduoduo + JD + Tmall + Red Star Macalline; IKEA China FY24 revenue ~30% below 2019 peak","Observation — platform-mediated same-day delivery + assembly bundle is standard","Burt Dawson Johansson & Hultman (2020) document IKEA China's adaptation to bundled delivery + assembly — indirect signal that consumer DIY willingness is low"
Japan,east_asia,weak,weak,very_high,very_strong,strong,strong,"Service expectations + Nitori + density made city-store experiment fail (Harajuku & Shinjuku closed Feb 2026)","Tokyo Statistical Yearbook (Statistics Bureau of Japan) — Tokyo 23 wards ~15,200/km²; Shibuya ~15,000/km²; Shinjuku ~19,500/km²","Nitori FY25 ~¥929B (~4x IKEA China scale) — dominant domestic player (Nitori IR result briefing)","Observation — service is a cultural baseline; assembly + delivery historically bundled in department-store-adjacent retail","Observation — Nitori bundles assembly; Japanese furniture retail does not assume self-assembly"
South Korea,east_asia,weak,moderate,high,strong,moderate,strong,"Hanssem dominant; Nitori entry; Coupang-style same-day delivery is baseline expectation","Statistics Korea — Population by Administrative District (Seoul ~16,000/km²)","Statista — Hanssem ~25% Korean interior market share; Coupang same-day model competing on convenience","Observation — Coupang's same-day model now extends to furniture","Observation — bundled assembly is the consumer expectation"
Hong Kong,east_asia,weak,weak,very_high,strong,weak,moderate,"Small apartments favor small-format city stores not big-box","HK Census and Statistics Department — Hong Kong overall ~7,100/km²; Kowloon ~50,000/km²","Local SME furniture retailers; main competition from online cross-border + Mainland brands; no single dominant player","Observation — high service expectations broadly; small apartments favour bundled-service delivery","Observation — small apartments + bundled delivery norm; HK Census 2016 (53% private permanent, 29% public rent)"
Singapore,east_asia,weak,weak,very_high,strong,weak,moderate,"~80% HDB public housing context shapes service-led market; small-format Jurong 2021 first SEA","Singapore Department of Statistics — Singapore overall ~8,400/km²","Cellini and HomePro mid-size; no single dominant local furniture brand","Observation — similar to HK baseline","Observation — limited DIY retail sector; Ikano Group 2021 (Jurong small-store SEA first)"
