store_id,store_name,country,city,latitude,longitude,opening_year,closure_year,store_format,region_type,source_url,notes
1,Älmhult,Sweden,Älmhult,56.5500,14.1333,1958,,big-box,origin,https://en.wikipedia.org/wiki/IKEA,First IKEA store opened October 28 1958
2,Asker,Norway,Asker,59.8333,10.4333,1963,,big-box,western,https://en.wikipedia.org/wiki/List_of_countries_with_IKEA_stores,First store outside Sweden
3,Spreitenbach,Switzerland,Spreitenbach,47.4167,8.3667,1973,,big-box,western,https://www.ikea.com/,First IKEA in continental Europe
4,Munich-Eching,Germany,Munich,48.2333,11.6167,1974,,big-box,western,https://www.ikea.com/,First German store
5,Warrington,United Kingdom,Warrington,53.3900,-2.5970,1987,,big-box,western,https://www.ikea.com/gb/en/stores/warrington/,First UK store
6,Croydon,United Kingdom,London,51.3870,-0.0918,1992,,big-box,western,https://www.ikea.com/gb/en/stores/croydon/,
7,Manchester Ashton,United Kingdom,Manchester,53.4870,-2.0950,2006,,big-box,western,https://www.ikea.com/gb/en/stores/manchester/,Wellington Road Ashton-under-Lyne
8,Tottenham Court Road Planning Studio,United Kingdom,London,51.5181,-0.1352,2018,2022,planning_studio,western,https://www.retailgazette.co.uk/blog/2018/10/ikea-launches-first-inner-city-store-tottenham-court-road/,Opened October 12 2018 first ever planning studio closed when Hammersmith opened
9,Greenwich,United Kingdom,London,51.4934,0.0098,2019,,big-box,western,https://www.retailgazette.co.uk/blog/2019/02/ikea-officially-opens-new-greenwich-store/,Opened February 7 2019 BREEAM Outstanding sustainability flagship
10,Hammersmith,United Kingdom,London,51.4927,-0.2229,2022,,city_store,western,https://www.ikea.com/gb/en/stores/hammersmith/,Opened February 24 2022 small format with in-store planning
11,Oxford Street,United Kingdom,London,51.5145,-0.1413,2025,,city_store,western,https://www.ikea.com/gb/en/newsroom/corporate-news/opening-tomorrow-ikea-makes-a-new-home-on-londons-oxford-street-pube69d2d10/,Opened May 1 2025 in Grade II listed building 214 Oxford Street
12,Plymouth Meeting,United States,Philadelphia,40.1090,-75.2780,1985,,big-box,western,https://www.ikea.com/us/en/stores/plymouth-meeting/,
13,Schaumburg,United States,Chicago,42.0334,-88.0834,1985,,big-box,western,https://www.ikea.com/us/en/stores/schaumburg/,
13a,Burbank,United States,Los Angeles,34.1700,-118.3300,2017,,big-box,western,https://www.ikea.com/us/en/stores/burbank/,Replaced original 1990 Burbank store at a larger nearby location
14,Brooklyn,United States,New York City,40.6720,-74.0091,2008,,big-box,western,https://www.ikea.com/us/en/stores/brooklyn/,
15,College Park,United States,Atlanta,33.6534,-84.4377,2005,,big-box,western,https://www.ikea.com/us/en/stores/atlanta/,
16,Frisco,United States,Dallas,33.1507,-96.8236,2017,,big-box,western,https://www.ikea.com/us/en/stores/frisco/,
17,Manhattan Planning Studio,United States,New York City,40.7607,-73.9685,2019,,planning_studio,western,https://www.ikea.com/us/en/newsroom/corporate-news/ikea-planning-studio-in-manhattan-is-now-open-pub4c32a867/,Opened April 15 2019 at 999 Third Avenue first US city center IKEA
18,Queens Planning Studio,United States,New York City,40.7282,-73.7949,2020,,planning_studio,western,https://www.ikea.com/us/en/stores/,
19,San Francisco Market Street,United States,San Francisco,37.7821,-122.4076,2023,,city_store,western,https://sfyimby.com/2023/08/ikea-opening-today-in-mid-market-san-francisco.html,Opened August 23 2023 at 945 Market Street 85000 sqft three-story
20,Arlington Plan and Order Point,United States,Washington DC,38.8800,-77.1110,2022,,plan_order_point,western,https://www.ikea.com/us/en/stores/,
21,Burnaby,Canada,Vancouver,49.2488,-122.9805,1976,,big-box,western,https://www.ikea.com/ca/en/stores/,
22,North York,Canada,Toronto,43.7615,-79.4111,1977,,big-box,western,https://www.ikea.com/ca/en/stores/,
23,Berlin Lichtenberg,Germany,Berlin,52.5293,13.4860,2010,,big-box,western,https://www.ikea.com/de/de/stores/berlin-lichtenberg/,Opened December 2010 Landsberger Allee 364 one of largest IKEA in Europe
24,Hamburg Altona,Germany,Hamburg,53.5500,9.9333,2014,,city_store,western,https://www.ikea.com/de/de/stores/hamburg-altona/,First inner-city IKEA store in Germany
25,Vienna Westbahnhof,Austria,Vienna,48.1957,16.3389,2021,,city_store,western,https://www.ingka.com/newsroom/the-new-inner-city-ikea-store-thats-rethinking-just-about-everything/,Opened August 26 2021 car-free first full-range inner-city store
26,Paris La Madeleine,France,Paris,48.8703,2.3242,2019,,city_store,western,https://about.ikea.com/en/about-us/ikea-retail/ikea-paris-la-madeleine-small-store/,Opened May 6 2019 worlds first city-centre IKEA above Decathlon
